,ft-1,ft-2,ft-3,ft-6
0,0.1111740406370738,0.951364816097857,,-0.8339309984553189
1,0.3463345961180505,-0.3279552832659741,-0.6391022596518736,1.2877493035769971
2,,,,0.38099507674042554
3,,-0.9595259640558513,,
4,,0.505819879686747,0.37631409640322927,
5,0.14682429102850925,0.4778428891941666,,-0.3103415329305247
6,,0.22810402821200138,-0.4261689137715051,
7,,,,
8,-1.5891567609941089,,,0.41693536411711474
9,,0.21162400509412016,,-0.22754275608097557
10,0.6550853934105527,,-0.7850625882093089,-1.067553500595985
11,-0.7018540709662746,0.2932610648606321,-0.4807296882543858,
12,,,0.8552198704655268,
13,,,,
14,0.2801249825420581,,-0.6117938246644745,
15,-0.5387447974310827,,1.1049191580457198,
16,0.40994669534513345,-0.25453149121623836,-0.7386161165657619,1.3674031830409663
17,,0.4456413524047776,1.3344324848606812,
18,,,0.074449832557908,-0.6242738189751609
19,,,,
20,,-0.6462935572093829,-0.21365158445158686,
21,1.3265806411219254,,,-0.6681078426282835
22,,,-0.1769032287162452,-0.29698672794682013
23,-0.4070809288175673,-0.12342902593101751,,
24,0.4413973213652417,0.16558097215922984,,
25,,-0.1611603543697324,-0.91076659282932,
26,,0.2974401260433277,-0.2822828759944298,
27,,0.32184287702863945,-0.9033654890706316,0.7805120626543224
28,,,0.8081156950914126,1.4088300651389156
29,0.0947164673301253,-0.5197612401670084,0.07977096153036811,0.6285402236821123
30,,,0.13940686340071168,0.9005612752192164
31,0.38395644884770774,-0.09810050231652565,,-1.8499042979613354
32,2.33773272169146,,0.3772870407145359,
33,0.8638822531922522,,-0.011739143043046324,0.601463164623393
34,-1.8839742848823664,,0.8400981398302794,
35,,0.5727818415642077,,
36,-0.8411226104003514,,1.6577764451566266,
37,,-0.2572103999438556,,
38,-0.5262767942469273,0.39766541391167237,,-1.445577956257516
39,-0.14082018783646566,,-0.12626679018964732,
40,,-0.07192274262285853,,
41,0.32656159976586796,0.3179098980984571,,
42,,,,
43,0.9760696086094847,-1.488007990469537,-0.47060514768970063,
44,,,,
45,,,,-1.982102189595697
46,0.5714481578559929,0.4560389071568295,,
47,,,,
48,-0.1787576612185179,0.6201174050719992,,0.5367024665311302
49,0.9443764328580516,,,0.24878614957666276
50,0.3051996571228464,,-0.5241970739024928,0.532616837434204
51,,0.3986080000180139,,
52,,-0.13044190580413245,,1.0147928077959936
53,,,-1.6657151808707158,
54,,,,0.5927580042257106
55,,-0.5115172035840773,-0.8226468343191291,0.47863767809755997
56,-1.3086817152037455,,-1.016418507207372,0.6367879282067643
57,-0.015335122443330212,,,0.5532214869418502
58,0.7994633790408718,-1.0721513372913922,,
59,0.7219412220157337,-0.2175142387706347,,-1.4265989752994337
60,-1.0425270701424032,,,
61,0.28921579080859183,,1.108993270810511,1.9798687815605016
62,,-0.23965727765639858,,-0.5547748362323384
63,,0.04413077795456055,0.2779414214948921,
64,,-0.8573951427142671,-1.3202363190441428,
65,0.6949763742908935,,0.15336761696793194,
66,,0.36228498178566515,0.2420434211792354,1.1336500492852024
67,,,0.718361705764655,
68,0.5990061296114022,0.049150922918444126,-0.7821444534684998,1.8815420924110018
69,-0.3501617221113754,-0.2669526304257096,,-0.47657299055623126
70,,,,
71,-1.1702419421658536,-0.30528794897312583,-1.8130235612358958,
72,-0.10130203941413396,,,
73,,,,0.2910553464195117
74,2.2902640738098756,,,0.8362917912730071
75,-1.442102290801081,,-0.3642564578178603,-0.36406999234233856
76,,,,-0.5341366881161376
77,1.0284012488230552,-0.6379249827167439,,-0.6023306564804263
78,,1.1601526132179925,-1.8317657904957612,-1.0853826593004616
79,,,-0.2649434355374855,-0.45031366638391196
